Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-03-25,471.340087890625,477.55808453681965,469.7261759694918,476.8451918543645,2600300
2024-03-26,472.0925598144531,475.2609784237901,467.6468990813233,473.00348998492825,2515100
2024-03-27,473.231201171875,477.39962728825924,470.062782756097,475.75601287899866,2309400
2024-03-28,476.8154602050781,477.66695490976974,472.56780697186196,473.1915918080456,2214500
2024-04-01,473.6767578125,478.50858247907803,472.6173146548121,475.9144545350411,1648200
2024-04-02,474.69659423828125,475.66692960451405,471.5974918030586,472.2608902076188,3265100
2024-04-03,472.7064514160156,478.52837286553984,472.4985029877523,475.69662411472314,2265000
2024-04-04,465.1319274902344,477.2015774557134,464.3695406148457,475.23123448990367,2552600
2024-04-05,472.4390869140625,474.5777648369619,467.8647050579768,469.3201929409384,2462700
2024-04-08,474.779052734375,475.6019831583904,470.2478974232635,472.34986935750254,1961800
2024-04-09,468.14593505859375,474.8187308517839,463.85272961208744,473.90653891885313,2217200
2024-04-10,465.1812744140625,470.35689679143695,464.86398769359556,466.1727727219264,2710500
2024-04-11,464.3286437988281,466.3513091400332,460.24367496366654,464.2989000551986,2299900
2024-04-12,461.4235534667969,465.52834131525265,458.1813341703422,462.0382776644485,2486300
2024-04-15,455.881103515625,466.99579322172474,454.5326498221994,466.24224467957123,2070500
2024-04-16,455.91082763671875,459.44055972203614,455.09779164024644,456.089290096979,1787200
2024-04-17,456.2479248046875,459.4702947277894,454.2550032619518,458.8357212036449,1735000
2024-04-18,450.8343200683594,457.98301482992633,449.941947330586,456.58499849996076,1998900
2024-04-19,451.5184631347656,455.95043185874067,448.74224950763255,454.98870747508494,2548800
2024-04-22,452.8669128417969,456.8229819380428,451.26069020897916,453.61053667240736,2157400
2024-04-23,458.8853454589844,459.0439888507994,453.4221790124873,454.5822455772013,2029100
2024-04-24,458.5679931640625,464.1699528667653,456.4362777339526,461.3342820707769,4043100
2024-04-25,458.1813659667969,460.0553126911022,452.83720468506715,457.02132964443655,2006500
2024-04-26,458.48870849609375,460.8682986307011,457.0212799549896,458.97453303484804,1963300
2024-04-29,453.21392822265625,457.66574639073923,451.80598717010974,457.031203144023,2120700
2024-04-30,447.3641357421875,453.8286950756024,447.0468489599243,452.3811157364593,2698800
2024-05-01,438.3117370605469,445.1629951374437,434.65310527586615,442.010006998278,4979100
2024-05-02,437.3500061035156,440.87973843730776,434.3259174427223,439.23384725229374,3866500
2024-05-03,439.8088684082031,441.47460879762116,433.1856660351362,441.12757828907024,3711500
2024-05-06,445.54962158203125,446.67001959123,441.7720151799456,443.4278307859028,2536200
2024-05-07,449.2082824707031,449.4462324145831,443.7252972875061,447.9193465971782,2345300
2024-05-08,450.9037170410156,451.2408228664632,446.09497400148393,450.1402741649842,2332400
2024-05-09,451.6175842285156,452.15300182220386,449.6940749642736,449.6940749642736,1970100
2024-05-10,453.094970703125,454.68134401006984,451.1119738113127,453.44197095268714,1729900
2024-05-13,453.86834716796875,454.82017722240005,451.6374756209964,453.0453864971984,2069300
2024-05-14,450.3385925292969,455.0779537461766,445.48022608569966,454.02696784614983,2991000
2024-05-15,454.1062927246094,454.70119784967403,448.94059424252987,448.94059424252987,2437800
2024-05-16,454.9688720703125,460.97735003426857,454.91930925289955,456.0892701186439,2412200
2024-05-17,456.35699462890625,457.7649357844924,454.2153542805098,456.53548735153856,1985900
2024-05-20,455.7521667480469,458.2904002791428,454.87964329833324,455.57370429464106,1397200
2024-05-21,455.1969299316406,456.47597136363225,451.7564292095235,454.01704439311345,2166000
2024-05-22,452.6388854980469,458.56805743631344,451.3003867260905,454.99865677545284,1713700
2024-05-23,447.3739929199219,454.15583847119535,446.61055003063655,452.63884710128065,2084600
2024-05-24,447.3442687988281,450.58648813459575,446.49159464545784,448.66297869777003,2162100
2024-05-28,441.29608154296875,446.7989156555478,438.6388731712908,446.17426684067016,2670800
2024-05-29,438.7082824707031,440.7805104211551,438.0439652530325,438.3513273253212,1876900
2024-05-30,438.3414611816406,440.4136892657107,436.9236256911923,438.45051148484555,2189900
2024-05-31,443.26922607421875,443.5369197668804,435.52562548208874,438.92645795558366,3917100
2024-06-03,439.42218017578125,441.21678986672356,434.1672507368003,439.70972318527413,2123800
2024-06-04,440.98876953125,441.09785009864356,437.5681179186914,439.59075303879945,2096600
2024-06-05,442.86273193359375,443.7649992164647,438.54970732620563,443.00152599196355,2157000
2024-06-06,444.86553955078125,445.95619395199776,440.84998273054424,444.6771524152015,1887100
2024-06-07,445.9660949707031,449.14879651345547,443.457605109993,445.628989129682,1664700
2024-06-10,445.4306640625,446.3428559201787,440.59214694379233,444.60773368955125,1954500
2024-06-11,445.22247314453125,445.43067934707443,441.3258612338627,444.0326628994501,1777300
2024-06-12,439.2337951660156,448.6530300510656,437.845703445108,447.6516069754218,2738900
2024-06-13,441.2168273925781,441.36554611422997,435.58512323972127,439.2338304155328,2916600
2024-06-14,440.8499755859375,441.17715677193354,437.44914304928346,439.5709340698699,2161500
2024-06-17,444.3003234863281,445.51987738376823,437.9249961799683,438.66861996320824,2351900
2024-06-18,446.28338623046875,447.36414624906905,442.902402889902,443.2593278347312,2636500
